model,accuracy,std,macro_f1,non_human_precision,non_human_recall,human_precision,human_recall
mlp,0.8101589630520907,0.004475882669590053,0.7590149742625674,0.7493934983017952,0.5707686622320769,0.8286367660076719,0.9157834664927442
knn,0.8073303167420814,0.006646226268098827,0.7514193240706553,0.7583719732096857,0.5439763488543976,0.8211075674108437,0.9235284526332953
decision_tree,0.7938667782421422,0.009643880025312497,0.7443496872185174,0.6982990152193375,0.5764966740576497,0.8264950794852385,0.8901027229740747
logistic,0.7843074747035144,0.0062175573124869515,0.7572401833820113,0.6256482791136256,0.7355875831485588,0.8735307114449845,0.8058046632969184
naive_bayes,0.726608206877572,0.011919292885451667,0.6887283670552145,0.5474667978357107,0.6169623059866962,0.8209689955954745,0.7749877710745149
