model,split,MSE,RMSE,MAE,R2
Ridge,train,0.02798500424350722,0.16728719091283475,0.1343069556528069,0.05473461406248137
Ridge,validation,0.027607380811785424,0.16615468940654496,0.1341904610527717,0.03819693991991158
RandomForest,train,0.02429540266457778,0.15586982602344104,0.12495831331469105,0.17936038256746867
RandomForest,validation,0.027172472055712348,0.1648407475587039,0.13262546998468913,0.05334856097728258
RandomForest,test,0.025465080693519552,0.15957782018037328,0.12905542197755665,0.05236428365537937
